Data,IdKeyword,Bid,Data,IdCampagna,Impressions,Clicks,Conversions,Costo,ConversionValue,IdFonte,Budget,Ora,IdGruppoAnnunci,Expr1,Expr2,Expr3
May  3 2017 12:00AM,14318,0.60,May  3 2017 12:00AM,94,5500,360,70,63.55,0.00,4,500.00,NULL,193,14318,193,94
May  4 2017 12:00AM,14318,0.60,May  4 2017 12:00AM,94,7504,395,34,70.51,0.00,4,500.00,NULL,193,14318,193,94
May  5 2017 12:00AM,14318,0.60,May  5 2017 12:00AM,94,7017,385,7,72.07,0.00,4,500.00,NULL,193,14318,193,94
May  6 2017 12:00AM,14318,0.60,May  6 2017 12:00AM,94,4924,115,6,30.77,0.00,4,500.00,NULL,193,14318,193,94
May  7 2017 12:00AM,14318,0.60,May  7 2017 12:00AM,94,4876,78,3,19.08,0.00,4,500.00,NULL,193,14318,193,94
May  8 2017 12:00AM,14318,0.60,May  8 2017 12:00AM,94,8473,618,59,96.82,0.00,4,500.00,NULL,193,14318,193,94
May  9 2017 12:00AM,14318,0.60,May  9 2017 12:00AM,94,10841,739,22,107.22,0.00,4,500.00,NULL,193,14318,193,94
Apr 13 2017 12:00AM,14319,0.60,Apr 13 2017 12:00AM,94,103,11,0,3.24,0.00,4,150.00,NULL,193,14319,193,94
Apr 14 2017 12:00AM,14319,0.60,Apr 14 2017 12:00AM,94,360,45,0,11.97,0.00,4,150.00,NULL,193,14319,193,94
Apr 15 2017 12:00AM,14319,0.60,Apr 15 2017 12:00AM,94,96,13,0,4.73,0.00,4,150.00,NULL,193,14319,193,94
Apr 16 2017 12:00AM,14319,0.60,Apr 16 2017 12:00AM,94,104,5,0,2.04,0.00,4,150.00,NULL,193,14319,193,94
Apr 17 2017 12:00AM,14319,0.60,Apr 17 2017 12:00AM,94,126,6,0,1.81,0.00,4,150.00,NULL,193,14319,193,94
Apr 18 2017 12:00AM,14319,0.60,Apr 18 2017 12:00AM,94,704,122,0,36.63,0.00,4,150.00,NULL,193,14319,193,94
